Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
228,Estimates,Lithuania,,440,Country/Area,924,1.164,1.178,1.111,1.078,1.086,0.993,0.962,0.973,0.861,0.698,0.611,0.682,0.767,0.801
229,Estimates,Norway,23,578,Country/Area,924,1.213,1.336,1.367,1.326,1.122,0.865,0.808,0.864,0.904,0.896,0.871,0.928,0.879,0.811
230,Estimates,Sweden,,752,Country/Area,924,1.047,1.058,1.094,1.03,0.908,0.797,0.788,0.916,0.966,0.751,0.804,0.911,0.917,0.892
231,Estimates,United Kingdom,24,826,Country/Area,924,1.019,1.174,1.329,1.219,0.956,0.826,0.851,0.881,0.854,0.836,0.798,0.898,0.902,0.846
233,Estimates,Albania,,8,Country/Area,925,2.284,2.528,2.568,2.241,2.02,1.734,1.527,1.433,1.273,1.094,0.89,0.754,0.801,0.764
234,Estimates,Bosnia and Herzegovina,,70,Country/Area,925,1.811,1.606,1.565,1.377,1.235,1.047,0.944,0.877,0.8,0.798,0.627,0.625,0.634,0.61
235,Estimates,Croatia,,191,Country/Area,925,1.167,1.049,1.006,0.926,0.925,0.893,0.882,0.818,0.727,0.777,0.677,0.731,0.713,0.696
236,Estimates,Greece,,300,Country/Area,925,1.094,1.089,1.047,1.177,1.18,1.135,0.971,0.728,0.657,0.625,0.619,0.678,0.646,0.626
237,Estimates,Italy,,380,Country/Area,925,1.038,1.033,1.146,1.158,1.086,0.891,0.725,0.644,0.607,0.586,0.63,0.69,0.684,0.641
238,Estimates,Malta,,470,Country/Area,925,1.839,1.749,1.466,0.993,0.947,1.006,0.937,0.97,0.964,0.888,0.708,0.67,0.671,0.698
239,Estimates,Montenegro,,499,Country/Area,925,1.773,1.575,1.48,1.293,1.2,1.064,1.025,0.98,0.95,0.893,0.867,0.853,0.812,0.836
240,Estimates,North Macedonia,,807,Country/Area,925,1.932,1.679,1.538,1.491,1.271,1.145,1.12,1.053,0.997,0.87,0.785,0.694,0.714,0.715
241,Estimates,Portugal,,620,Country/Area,925,1.259,1.305,1.367,1.384,1.286,1.182,0.944,0.767,0.704,0.695,0.696,0.66,0.618,0.621
242,Estimates,Serbia,25,688,Country/Area,925,1.334,1.097,1.097,1.087,1.08,1.1,1.083,1.05,0.932,0.871,0.815,0.755,0.698,0.698
243,Estimates,Slovenia,,705,Country/Area,925,1.227,1.11,1.097,1.068,1.03,1.022,0.919,0.79,0.64,0.598,0.583,0.692,0.76,0.773
244,Estimates,Spain,26,724,Country/Area,925,1.091,1.208,1.282,1.314,1.334,1.205,0.894,0.696,0.611,0.568,0.613,0.699,0.638,0.64
246,Estimates,Austria,,40,Country/Area,926,0.951,1.177,1.293,1.204,0.958,0.783,0.761,0.693,0.712,0.668,0.665,0.675,0.699,0.739
247,Estimates,Belgium,,56,Country/Area,926,1.079,1.156,1.237,1.122,0.951,0.809,0.761,0.746,0.774,0.776,0.813,0.88,0.861,0.83
248,Estimates,France,27,250,Country/Area,926,1.261,1.258,1.338,1.252,1.093,0.886,0.891,0.865,0.823,0.848,0.909,0.957,0.959,0.897
249,Estimates,Germany,,276,Country/Area,926,0.964,1.043,1.151,1.109,0.805,0.715,0.698,0.685,0.625,0.647,0.651,0.658,0.69,0.767
250,Estimates,Luxembourg,,442,Country/Area,926,0.914,1.041,1.126,1.035,0.82,0.708,0.7,0.704,0.799,0.827,0.798,0.781,0.749,0.703
251,Estimates,Netherlands,28,528,Country/Area,926,1.422,1.457,1.497,1.325,0.999,0.763,0.725,0.745,0.764,0.768,0.836,0.841,0.836,0.803
252,Estimates,Switzerland,,756,Country/Area,926,1.072,1.122,1.225,1.116,0.891,0.736,0.737,0.742,0.739,0.715,0.679,0.709,0.738,0.743
254,Estimates,Canada,,124,Country/Area,918,1.672,1.802,1.721,1.229,0.933,0.825,0.781,0.776,0.813,0.751,0.73,0.788,0.772,0.736
255,Estimates,United States of America,29,840,Country/Area,918,1.54,1.678,1.519,1.197,0.96,0.842,0.862,0.916,0.974,0.96,0.982,0.989,0.903,0.855
