Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","660","Anguilla","2003","2003","23014","Food price inflation","7003","March","%","-2.1611","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2004","2004","23014","Food price inflation","7003","March","%","3.313253","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2005","2005","23014","Food price inflation","7003","March","%","2.866861","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2006","2006","23014","Food price inflation","7003","March","%","4.298536","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2007","2007","23014","Food price inflation","7003","March","%","8.152174","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2008","2008","23014","Food price inflation","7003","March","%","9.740369","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2009","2009","23014","Food price inflation","7003","March","%","11.340914","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2010","2010","23014","Food price inflation","7003","March","%","1.37775","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2011","2011","23014","Food price inflation","7003","March","%","3.693167","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2012","2012","23014","Food price inflation","7003","March","%","4.05158","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2013","2013","23014","Food price inflation","7003","March","%","1.769603","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2014","2014","23014","Food price inflation","7003","March","%","2.424047","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2015","2015","23014","Food price inflation","7003","March","%","-0.432976","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2016","2016","23014","Food price inflation","7003","March","%","-0.598013","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2017","2017","23014","Food price inflation","7003","March","%","1.240891","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2018","2018","23014","Food price inflation","7003","March","%","1.180229","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2019","2019","23014","Food price inflation","7003","March","%","2.973163","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2020","2020","23014","Food price inflation","7003","March","%","-0.264032","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2021","2021","23014","Food price inflation","7003","March","%","1.964133","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2001","2001","23014","Food price inflation","7004","April","%","4.587557","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2002","2002","23014","Food price inflation","7004","April","%","1.185771","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2003","2003","23014","Food price inflation","7004","April","%","-3.027344","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2004","2004","23014","Food price inflation","7004","April","%","3.994629","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2005","2005","23014","Food price inflation","7004","April","%","2.653325","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2006","2006","23014","Food price inflation","7004","April","%","4.744985","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2007","2007","23014","Food price inflation","7004","April","%","8.117439","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2008","2008","23014","Food price inflation","7004","April","%","11.564626","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2009","2009","23014","Food price inflation","7004","April","%","8.904928","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2010","2010","23014","Food price inflation","7004","April","%","1.52704","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2011","2011","23014","Food price inflation","7004","April","%","3.680795","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2012","2012","23014","Food price inflation","7004","April","%","4.507421","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2013","2013","23014","Food price inflation","7004","April","%","1.334174","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2014","2014","23014","Food price inflation","7004","April","%","2.632481","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2015","2015","23014","Food price inflation","7004","April","%","-0.644401","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2016","2016","23014","Food price inflation","7004","April","%","-0.717562","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2017","2017","23014","Food price inflation","7004","April","%","1.307472","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2018","2018","23014","Food price inflation","7004","April","%","0.543944","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2019","2019","23014","Food price inflation","7004","April","%","3.413601","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2020","2020","23014","Food price inflation","7004","April","%","0.477653","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2021","2021","23014","Food price inflation","7004","April","%","1.259196","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2001","2001","23014","Food price inflation","7005","May","%","4.487167","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2002","2002","23014","Food price inflation","7005","May","%","1.477833","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2003","2003","23014","Food price inflation","7005","May","%","-3.883495","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2004","2004","23014","Food price inflation","7005","May","%","4.680135","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2005","2005","23014","Food price inflation","7005","May","%","2.441299","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2006","2006","23014","Food price inflation","7005","May","%","5.190116","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2007","2007","23014","Food price inflation","7005","May","%","8.0831","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2008","2008","23014","Food price inflation","7005","May","%","13.369235","Fc","Calculated data",""
